"Listing Nickname","Month","Owner Revenue","Commission","Occupancy","ANR"
"314","jan. 2026","1 080,63","1 080,63","0,032258065","1 080,63"
"315","jan. 2026","2 019,9900000000002","2 019,9900000000002","0,096774194","673,33"
"416","jan. 2026","5 121,280000000001","5 121,280000000001","0,290322581","569,031111111"
"515","jan. 2026","6 623,24","6 623,24","0,419354839","509,48"
"Alviksvägen 25","jan. 2026","14 142,25","3 535,54","0,433333333","1 832,586153846"
"Baggensg. 16, 1101","jan. 2026",,,"0",
"Baggensg. 16, 1102","jan. 2026",,,"0",
"Baggensg. 16, 1302","jan. 2026",,,"0",
"Baggensg. 16A, 1101","jan. 2026",,,"0",
"Bergsg. 15 1302","jan. 2026","22 482,1","5 620,49","0,580645161","2 078,909444444"
"Bergsg. 15, 1401","jan. 2026","13 660,95","3 415,22","0,607142857","1 397,945294118"
"Bondeg. 77 1103","jan. 2026","2 340,12","585,03","0,25","1 305,7"
"Bondeg. 77 1106","jan. 2026",,,"0",
"Bondeg. 77 1303","jan. 2026","2 985,88","746,48","0,363636364","1 227,11"
"Bondeg. 77 1306","jan. 2026","1 069,71","267,42","0,272727273","719,97"
"Bondeg. 77 1405","jan. 2026","9 563,2","2 390,8","0,416666667","2 933,94"
"Bondeg. 77 1506","jan. 2026","2 005,1399999999999","501,29999999999995","0,545454545","550,4"
"Bondeg. 77 1601","jan. 2026","6 872,32","1 718,08","0,307692308","2 631,185"
"Bondeg. 77 1602","jan. 2026","5 058,15","1 264,55","0,333333333","2 225,6325"
"Bondegatan 77, 1204","jan. 2026","685","171,25","0,083333333","1 214,01"
"Bondegatan 77, 1504","jan. 2026","711,85","177,96","0,083333333","1 252,71"
"Bondegatan 77, 1505.","jan. 2026","3 069,81","767,46","0,25","1 736,65"
"Döbelnsg. 6 1301","jan. 2026","6 013,740000000001","1 503,4499999999998","1","2 089,268"
"Döbelnsgatan 6 1201","jan. 2026","2 361,32","590,32","1","1 169,71"
"Eriksd.g. 1104","jan. 2026","16 886,74","5 628,890000000001","0,64516129","1 320,1135"
"Folku.g.110 1202","jan. 2026","11 454,18","2 863,56","0,533333333","1 305,986875"
"Folku.g.110 1502","jan. 2026","18 546,07","4 636,54","0,576923077","2 178,926666667"
"Folkungag. 107 1101","jan. 2026","25 236,67","6 309,209999999999","0,516129032","2 474,7775"
"Folkungag. 107 1201","jan. 2026","14 020,65","3 505,18","0,35483871","2 186,176363636"
"Folkungag. 107 1202","jan. 2026","8 400,75","2 100,21","0,387096774","1 344,831666667"
"Funckens gränd 2","jan. 2026",,,"0",
"GG Double large 27","jan. 2026","18 836,480000000003","18 836,480000000003","0,451612903","1 390,465714286"
"GG Double large 37","jan. 2026","14 144,369999999999","14 144,369999999999","0,44","1 285,85"
"GG36. Family small","jan. 2026","36 758,64","36 758,64","0,5","2 503,756"
"GG45. Suite","jan. 2026","45 629,93","45 629,93","0,366666667","4 148,175454545"
"GOT Adelsg 38 Terras","jan. 2026",,,"0",
"GOT Adelsgatan 37","jan. 2026",,,"0",
"GOT Adelsgatan 38","jan. 2026",,,"0",
"GOT Mellang.22, 1101","jan. 2026",,,"0",
"GOT Nunneg.2 1201","jan. 2026",,,"0",
"GOT Nygatan 38, B","jan. 2026",,,"0",
"GOT Nygatan 38, C","jan. 2026","3 550,8900000000003","887,73","0,096774194","2 186,82"
"GOT Ryska Gränd 1","jan. 2026","7 492,960000000002","1 873,2799999999997","0,516129032","665,56"
"GOT Skepg.2 1001","jan. 2026",,,"0",
"GOT Skepg.22 (gårdh)","jan. 2026",,,"0",
"GOT Visborg 13 (BV)","jan. 2026",,,"0",
"GOT Visborg 13 (H)","jan. 2026",,,"0",
"GOT Visborg 13 (STU)","jan. 2026",,,,
"GOT Visborg 13 Hus","jan. 2026",,,"0",
"GOT nunneg.2 1101","jan. 2026",,,"0",
"GOT skepg. 2 001","jan. 2026",,,"0",
"GOT skepg. 2 1101","jan. 2026",,,"0",
"GOT, Finng. 5","jan. 2026",,,"0",
"GOT. Adelsg. 41 1101","jan. 2026",,,"0",
"GOT. Almedalen Lgh13","jan. 2026","1 064,8","266,2","0,032258065","1 924,05"
"GOT. Almedalen Lgh14","jan. 2026",,,"0",
"GOT. Klobru. 3 (hus)","jan. 2026",,,"0",
"GOT. Ryska gränd 3","jan. 2026",,,"0",
"GOT. Smedjeg. 13 (A)","jan. 2026","1 751,88","437,97","0,096774194","1 168,25"
"GOT. Smedjeg. 13 (C)","jan. 2026",,,"0",
"GOT. Smedjeg. 13 Röd","jan. 2026",,,"0",
"GOT. StHans 166","jan. 2026",,,"0",
"GOT. StHans 167","jan. 2026",,,"0",
"GOT. StHans 168","jan. 2026",,,"0",
"GOT. Stora Torg 101","jan. 2026",,,"0",
"GOT. Stora Torg 103","jan. 2026",,,"0",
"GOT. skepg22 1001G  ","jan. 2026","0","0","0",
"GOT. skeppg 22 1201","jan. 2026",,,"0",
"Got. Norra Kyrk.g 11","jan. 2026",,,"0",
"Got. Persg 4 BV väns","jan. 2026",,,"0",
"Got. Persg4 Hus","jan. 2026",,,"0",
"Got. Persg4 höger","jan. 2026",,,"0",
"Got. Persg4 vänster","jan. 2026",,,"0",
"Got. Stora Torg 102","jan. 2026",,,"0",
"Got. Stora Torg 202","jan. 2026","578,11","144,53","0,032258065","1 158,19"
"Got. Stora Torg 203","jan. 2026",,,"0",
"Got. Stora Torg 204","jan. 2026",,,"0",
"Got. Stora torg 201","jan. 2026",,,"0",
"Got. Stora torg 301","jan. 2026",,,"0",
